Menge;Bezeichnung;Typ;Bemerkungen;Bild;Link;X;Y
5;Gleichrichter  B80C800;B80C800;;;;;
4;Gleichrichter  SKD 25/02;SKD 25/02;"Silizium Drehstrom-BrÅckengleichrichter,in ;;;;
47;Glimmerscheibe  T-220;T-220;;;;;
47;Glimmerscheibe  TO-3;TO-3;;;;;
0;Griffe 3HE  2.350.230.9;2.350.230.9;Schublade2;;;;
0;Griffleisten  2.350.200.9;2.350.200.9;Schublade2;;;;
0;HaltebÅgel  .;..;;;;;
109;Halter f¸År Kabelbinder  TM 2 S 6-M;TM 2 S 6-M; (Ausgabe);;;;
0;Heiﬂleiter  10K;10K;NTC;;;;
6;Heiﬂleiter  4.7K;4.7K;;;;;
0;Heiﬂleiter  500R;500R;;;;;
1;HF-Leitung  RG58CU;RG58CU;Schrank5;;;;
5;HSS-Spiralbohrer Typ203 1,0mm;..;;;;;
5;HSS-Spiralbohrer Typ203 1,3mm;..;;;;;
5;HSS-Spiralbohrer Typ203 1,4mm;..;;;;;
3;HSS-Spiralbohrer Typ203 1,5mm;..;;;;;
2;I/O Ports  8212;8212;E/A;;;;
4;IC  2114;2114;;;;;
2;IC  6116;6116;Interface;;;;
2;IC  8156C;8156C;;;;;
6;IC  FZH111;FZH111;;;;;
1;IC  FZH251;FZH251;;;;;
3;IC  FZH261;FZH261;;;;;
2;IC  FZH281;FZH281;;;;;
3;IC  FZH291;FZH291;;;;;
3;IC  SN75188;SN75188;;;;;
2;IC  SN75189;SN75189;;;;;
5;IC  SN75478;SN75478;;;;;
1;IC-Fassung  22 pol;22 pol;;;;;
10;IC-Fassung  24 pol;24 pol;;;;;
5;IC-Fassung  28 pol;28 pol;;;;;
6;IC-Fassung  40 pol;40 pol;;;;;
23;IC-Fassung 390261-2  8 pol;8 pol;;;;;
75;IC-Fassung 390261-3  14 pol;14 pol;;;;;
5;IC-Fassung 390261-4  16 pol;16 pol;;;;;
36;IC-Fassung 390261-5  18 pol;18 pol;;;;;
17;IC-Fassung 390261-6  20pol;20 pol;;;;;
6;IC-Fassung AG11  6pol;6 pol;;;;;
2;IC-Testfassung  24pol;24pol;;;;;
0;IC-Testfassung  40 pol;40 pol.;;;;;
2;IR-Diode  CQY78;CQY78;;;;;
1;IR-Diode  SFH 206;SFH 206;;;;;
9;IR-Diode LD271;LD271;;;;;
1;IR-Diode SFH205;SFH205;;;;;
17;Isolierbuchse  IB 4;IB 4;;;;;
28;Isolierbuchse  IB2;IB2;;;;;
31;Isolierbuchse  TO-3;TO-3;;;;;
34;Isotuellen  ISO 1003 FL;ISO 1003 FL;;;;;
31;Isotuellen  ISO 1005 FL;ISO 1005 FL;;;;;
8;Isotuellen  ISO 1507 H;ISO 1507 H;;;;;
1;Kabelstecker/5pol  T 3360 001;T 3360 001;Nur fÅr ZwischenprÅng;;;;
7;Kaltger‰te-Einbau m.Schal 18521102;18521102;;;;;
0;Kammrelais  F104;F104;Schrank3;;;;
10;Kapazit‰tsdiode  BA102;BA102;;;;;
10;Kapazit‰tsdiode  BA110;BA110;;;;;
0;Kasette 28/t21  2.350.321.9;2.350.321.9;Schublade2;;;;
0;Keramikkondensator  100nF;100nF;;;;;
6;Keramikkondensator  100pF;100pF;;;;;
13;Keramikkondensator  10nF;10nF;;;;;
43;Keramikkondensator  120pF;120pF;;;;;
11;Keramikkondensator  12pF;12pF;;;;;
10;Keramikkondensator  15pF;15pF;;;;;
11;Keramikkondensator  2.2nF;2.2nF;;;;;
14;Keramikkondensator  2.2nF;2.2nF;;;;;
32;Keramikkondensator  220pF;220pF;;;;;
3;Keramikkondensator  22nF;22nF;;;;;
33;Keramikkondensator  22pF;22pF;;;;;
14;Keramikkondensator  270pF;270pF;;;;;
107;Keramikkondensator  27pF;27pF;;;;;
41;Keramikkondensator  3.3nF;3.3nF;;;;;
67;Keramikkondensator  3.3nF;3.3nF;;;;;
64;Keramikkondensator  3.3pF/100V;3.3pF/100V;;;;;
0;Keramikkondensator  330pF;330pF;;;;;
17;Keramikkondensator  4.7nF;4.7nF;;;;;
31;Keramikkondensator  470pF;470pF;;;;;
23;Keramikkondensator  47pF;47pF;;;;;
13;Keramikkondensator  6.8nF;6.8nF;;;;;
19;Keramikkondensator  6.8pF;6.8pF;;;;;
11;Keramikkondensator  680pF;680pF;;;;;
7;Kippschalter  1pol.;1pol.;LˆtˆsenanschlÅsse, Belastbarkeit 250V~/2A;;;;
9;Kippschalter  2 pol.;2 pol.;250V/2A,2pol Aus, ";;;;
10;Kippschalter  3pol. Wechsler;3PDT EIN-EIN;3pol. Wechsler,;;;;
4;Kleinlammpe  12V/85mA;12V/85mA;;;;;
3;Kleintaster  Schlieﬂer;Schlie·er;;;;;
11;Kleintaster  ÷ffner;Kleintaster;Fur ZwischenprÅfung;;;;
2;Klemmpr¸Åfspitze rot  KLEPS 250;KLEPS 250;Schublade;;;;
2;Klemmpr¸fspitze schwarz  KLEPS 250;KLEPS 250;Schublade;;;;
7;Klinkenbuchse  J110;J110;;;;;
5;Klinkenbuchse  LJ109;LJ109;;;;;
9;Klinkenstecker  KP 3;KP 3;;;;;
5;Klinkenstecker  LP110A;LP110A;;;;;
0;Knopf;KM406;fÅr 231-0255;;;;
12;Knˆpfe  12mm/4mmAchse;12mm/4mmAchse;;;;;
12;Knˆpfe  20mm/6mmAchse;20mm/6mmAchse;;;;;
0;Kupferdraht, verzinnt  0.5 mm;TCW25 250G;;;;;
10;KÅ¸hlkˆrper  FK 201/SA-CB;FK 201/SA-CB;FÅr T03,9,32,66,RTH6K/W;;;;
16;KÅ¸hlkˆrper  SKK510 BC140;SKK510 BC140;;;;;
9;Lampe E10/24V  .;.;;;;;
0;Lampen E10/6V  .;..;;;;;
10;Lampenfassung  5253-10-26;26.10.5253;mit Lˆtanschluﬂ;;;;
17;Lautsprecherbuchse  LB-2;LB-2;Einbaubuchse;;;;
1;Lautsprecherbuchse  Lk91;Lk91;;;;;
1;Lautsprecherleitung  NYFAZ 2*1.0;NYFAZ 2*1.0;Schrank5;;;;
0;Lautsprecherstecker  LS-9;LS-9;;;;;
2;LCD Anzeige  LCD 3.5-13;LCD 3.5-13;;;;;
1;LCD-Anzeige 6902;6902;;;;;
35;LED 3mm gelb  T1/Standard;T1/Standard;;;;;
31;LED 3mm grÅn  T1/Standard;T1/Standard;;;;;
14;LED 3mm rot  T1/Standard;T1/Standard;;;;;
27;LED 5mm flach rot  L 383;L 383 HDT;;;;;
17;LED 5mm gelb  TLHY5405;TLHY5405;;;;;
41;LED 5mm grÅn  TLHG5405;TLHG5405;;;;;
20;LED 5mm rot  TLHR5401;TLHR5401;;;;;
14;LED-Band LD464;LD464;;;;;
15;LED-Fassung  3mm klar;3mm klar;;;;;
4;LED-Fassung  3mm schwarz;3mm schwarz;;;;;
0;LED-Fassung  5mm klar;5mm klar;;;;;
92;LED-Fassung  5mm schwarz;5mm schwarz;;;;;
6;Leistungstransistor  2N3055;2N3055;NPN;;;;
1;Leistungstransistor  AD149;AD149;PNP;;;;
14;Leistungstransistor  BD135;BD135;;;;;
9;Leistungstransistor  BD136;BD136;PNP;;;;
4;Leistungstransistor  BD207;BD207;NPN;;;;
12;Leistungstransistor  BD237;BD237;NPN;;;;
6;Leistungstransistor  BD238;BD238;PNP;;;;
5;Leistungstransistor  BD441;BD441;NPN;;;;
3;Leistungstransistor  BD679;BD679;NPN Darlington;;;;
5;Leistungstransistor  BD680;BD680;PNP Darlington;;;;
1;Leistungstransistor  BU108;BU108;NPN;;;;
25;Leistungstransistor  BUX80;BUX80;PNP;;;;
2;Leistungstransistor  MJ2501;MJ2501;PNP;;;;
1;Leitpaste  WLP 35;WLP 35;;;;;
47;LeitungseinfÅhrung  HV1216;HV1216;;;;;
2184;Lˆth¸Ålse 1.3mm  .;..;Passend zu 361-0007;;;;
0;Lˆtkolben;TCP S;12V / 30W;;;;
2;Lˆtkolben  TCP 24;TCP 24;24V / 50W;;;;
4;Lˆtkolbenst‰nder  KH 1;KH 1;Schublade;;;;
0;Lˆtstifte 1.3mm  .;..;100 Stk,  Passen zu361-0001;;;;
225;Lˆtˆse  3.2mm  .;.;250 Stk;;;;
185;Lˆtˆse 3.2mm  .;.;250 Stk;;;;
318;Lˆtˆse 4.3mm  60.2804.51;60.2804.51;250 Stk;;;;
21;Lˆtˆsenleiste 12 SL;12 SL;L‰nge 1m, Kontakte 125 (Pr¸Åfungsschrank);;;;
0;Messerleiste  100-533-053;100-533-053;;;;;
0;Messerleiste  100-964-05;100-964-05;;;;;
0;Messerleiste  100-964-451;100-964-451;;;;;
0;Messerleiste  104-015-414;104-015-414;Schublade2;;;;
0;Messerleisten  100-032-05;100-032-053;;;;;
0;Messleitung-Set schw. / rot;;f¸År Durchgangspr¸Åfer (Schublade);;;;
0;Miniaturschalter 1pol. Wechsler;SPDT;1pol. Wechsler;;;;
4;Miniaturschalter 2pol.Wechsler;DPDT;2pol. Wechsler Ein - Ein;;;;
10;Miniaturschalter TE - 0 - Ein;SPDT;TastEin - Aus - Ein;;;;
4;Multiplizierer  RL4200;RL4200;f¸År Leistungsmeﬂger‰t;;;;
14;Netzwerk  8*10K;8*10K;;;;;
6;Netzwerk  Dil 16/15*4.7K;Dil 16/15*4.7K;;;;;
2;Netzwerk  Dil 16/8* 47R;Dil 16/8* 47R;;;;;
3;Netzwerk  Dil16/8*4.7K;Dil16/8*4.7K;;;;;
10;NPN-Transistor  2N2369;2N2369;;;;;
7;NPN-Transistor  BC141;BC141;;;;;
